,index,regiao,codigo_filial,codigo_regiao
0,0,SE - SUDESTE,402,1
1,1,CHACARA SANTO ANTONIO,454,92
2,2,REGISTRO,423,181
3,3,SAO JOSE DO RIO PRETO - CENTRO,394,257
4,4,SAO JOSE DO RIO PRETO - VILA SANTA MANOEL,417,271
5,5,PRES.PRUDENTE - CENTRO,480,321
6,6,TORORO - POLITEAMA,536,757
7,7,TORORO - POLITEAMA,577,757
8,8,CAMPO GRANDE - VITORIA,607,758
9,9,QUINTAS,559,769
10,10,BOM JUA,561,770
11,11,CALCADA,562,771
12,12,PERNAMBUES,535,773
13,13,PERNAMBUES,568,773
14,14,VALERIA,593,774
15,15,VALERIA,591,774
16,16,AMARALINA,603,776
17,17,MADRE DE DEUS,539,778
18,18,FEIRA SANTANA - CENTRO,524,781
19,19,FEIRA SANTANA - CENTRO,569,781
20,20,CAMPO GRANDE - CENTRO,950,1147
21,21,CAMPO GRANDE - CENTRO,373,1147
22,22,CAMPO GRANDE - CENTRO,386,1147
23,23,CAMPO GRANDE - CENTRO,478,1147
24,24,CAMPO GRANDE - CENTRO,672,1147
25,25,CAMPO GRANDE - VILA ANTÔNIO,345,1148
26,26,RIO BRILHANTE,426,1151
27,27,COXIM,670,1154
28,28,TRES LAGOAS,511,1156
29,29,FATIMA DO SUL,393,1157
30,30,FATIMA DO SUL,313,1157
31,31,FATIMA DO SUL,212,1157
32,32,DOURADOS,951,1158
33,33,DOURADOS,973,1158
34,34,PONTA PORA,406,1159
35,35,PONTA PORA,640,1159
36,36,CURITIBA - CENTRO,796,1160
37,37,CURITIBA - CENTRO,934,1160
38,38,CURITIBA - CENTRO,943,1160
39,39,PARQUE PUBLICO,794,1161
40,40,PARQUE PUBLICO,819,1161
41,41,PARQUE PUBLICO,863,1161
42,42,PARQUE PUBLICO,871,1161
43,43,PARQUE PUBLICO,941,1161
44,44,ALTO DA GLORIA,917,1162
45,45,ALTO DA RUA XV,385,1163
46,46,AGUA VERDE,579,1166
47,47,AGUA VERDE,492,1166
48,48,SAO FRANCISCO,753,1169
49,49,BATEL,927,1170
50,50,BATEL,956,1170
51,51,BATEL,465,1170
52,52,CENTRO CIVICO,931,1174
53,53,PORTAO,831,1175
54,54,PORTAO,409,1175
55,55,BIGORRILHO,479,1176
56,56,BIGORRILHO,599,1176
57,57,NOVO MUNDO,816,1178
58,58,NOVO MUNDO,818,1178
59,59,NOVO MUNDO,945,1178
60,60,NOVO MUNDO,963,1178
61,61,NOVO MUNDO,957,1178
62,62,NOVO MUNDO,380,1178
63,63,NOVO MUNDO,501,1178
64,64,NOVO MUNDO,518,1178
65,65,NOVO MUNDO,631,1178
66,66,NOVO MUNDO,682,1178
67,67,HAUER,840,1179
68,68,HAUER,864,1179
69,69,HAUER,923,1179
70,70,HAUER,456,1179
71,71,HAUER,471,1179
72,72,HAUER,555,1179
73,73,HAUER,666,1179
74,74,ABRANCHES,835,1181
75,75,ABRANCHES,862,1181
76,76,BOTIATUVINHA,888,1182
77,77,BOTIATUVINHA,643,1182
78,78,BACACHERI,382,1183
79,79,BACACHERI,458,1183
80,80,BACACHERI,653,1183
81,81,SAO JOSE DOS PINHAIS,792,1184
82,82,SAO JOSE DOS PINHAIS,918,1184
83,83,SAO JOSE DOS PINHAIS,398,1184
84,84,SAO JOSE DOS PINHAIS,431,1184
85,85,SAO JOSE DOS PINHAIS,450,1184
86,86,PARANAGUA,810,1185
87,87,PARANAGUA,911,1185
88,88,PARANAGUA,381,1185
89,89,PARANAGUA,560,1185
90,90,PARANAGUA,565,1185
91,91,PARANAGUA,602,1185
92,92,GUARATUBA,930,1186
93,93,GUARATUBA,404,1186
94,94,GUARATUBA,580,1186
95,95,GUARATUBA,638,1186
96,96,GUARATUBA,684,1186
97,97,COLOMBO,830,1188
98,98,COLOMBO,438,1188
99,99,COLOMBO,608,1188
100,100,COLOMBO,334,1188
101,101,CAMPO LARGO,899,1189
102,102,CAMPO LARGO,570,1189
103,103,ARAUCARIA,412,1190
104,104,LAPA,805,1191
105,105,LAPA,464,1191
106,106,LAPA,552,1191
107,107,LAPA,337,1191
108,108,PONTA GROSSA,829,1192
109,109,PONTA GROSSA,869,1192
110,110,PONTA GROSSA / PALMEIRA,416,1193
111,111,JAGUARIAIVA,887,1195
112,112,UNIAO DA VITORIA,947,1198
113,113,PATO BRANCO,798,1206
114,114,PATO BRANCO,906,1206
115,115,FRANCISCO BELTRAO,919,1208
116,116,FRANCISCO BELTRAO,668,1208
117,117,CASCAVEL,885,1210
118,118,CASCAVEL,886,1210
119,119,CASCAVEL,896,1210
120,120,CASCAVEL,903,1210
121,121,CASCAVEL,970,1210
122,122,CASCAVEL,377,1210
123,123,CASCAVEL,413,1210
124,124,CASCAVEL,493,1210
125,125,CASCAVEL,500,1210
126,126,CASCAVEL,671,1210
127,127,FOZ DO IGUACU,882,1213
128,128,FOZ DO IGUACU,351,1213
129,129,TOLEDO,961,1216
130,130,NOVA SANTA ROSA,897,1217
131,131,NOVA SANTA ROSA,949,1217
132,132,LONDRINA - SAO PEDRO I,924,1221
133,133,LONDRINA - SANDRO NEVES,685,1222
134,134,LONDRINA - IPIRANGA,821,1223
135,135,LONDRINA - IPIRANGA,375,1223
136,136,LONDRINA - IPIRANGA,379,1223
137,137,CASONI,515,1226
138,138,SAN FERNANDO,505,1228
139,139,UNIVERSIDADE,376,1229
140,140,UNIVERSIDADE,498,1229
141,141,UNIVERSIDADE,676,1229
142,142,CINCO CONJUNTOS,813,1230
143,143,BELA VISTA DO PARAISO,933,1231
144,144,CORNELI PROCOPIO,861,1233
145,145,ARAPONGAS,422,1238
146,146,ARAPONGAS,430,1238
147,147,ARAPONGAS,598,1238
148,148,APUCARANA,878,1239
149,149,APUCARANA,418,1239
150,150,MARINGA,900,1241
151,151,MARINGA,391,1241
152,152,CIANORTE,912,1243
153,153,CIANORTE,419,1243
154,154,IRETAMA,836,1245
155,155,UMUARAMA,913,1248
156,156,PEROLA,434,1249
157,157,PARANAVAI,395,1251
158,158,FLORIANOPOLIS - RODOVIARIA,301,1254
159,159,FLORIANOPOLIS - RODOVIARIA,660,1254
160,160,FLORIANOPOLIS - RODOVIARIA,739,1254
161,161,FLORIANOPOLIS - RODOVIARIA,804,1254
162,162,FLORIANOPOLIS - RODOVIARIA,839,1254
163,163,FLORIANOPOLIS - RODOVIARIA,859,1254
164,164,FLORIANOPOLIS - RODOVIARIA,894,1254
165,165,FLORIANOPOLIS - RODOVIARIA,374,1254
166,166,FLORIANOPOLIS - HOSPITAL CELSO RAMOS,765,1255
167,167,FLORIANOPOLIS - HOSPITAL CELSO RAMOS,874,1255
168,168,FLORIANOPOLIS - HOSPITAL CELSO RAMOS,711,1255
169,169,FLORIANOPOLIS - HOSPITAL CELSO RAMOS,823,1255
170,170,FLORIANOPOLIS - HOSPITAL CELSO RAMOS,901,1255
171,171,FLORIANOPOLIS - HOSPITAL CELSO RAMOS,504,1255
172,172,FLORIANÓPOLIS - HOSPITAL CARIDADE,738,1256
173,173,FLORIANÓPOLIS - HOSPITAL CARIDADE,748,1256
174,174,TRINDADE,576,1257
