,brick,Cód. Filial
0,1 - SE,402
1,92 - CHAC.SANTO ANTONIO,454
2,181 - REGISTRO,423
3,257 - S.J.RIO PRETO-CENTRO,394
4,271 - S.J.RIO PRETO-V.S.MANOEL,417
5,321 - PRES.PRUDENTE - CENTRO,480
6,757 - TORORO-POLITEAMA,536
7,757 - TORORO-POLITEAMA,577
8,758 - CAMPO GRANDE - VITORIA,607
9,769 - QUINTAS,559
10,770 - BOM JUA,561
11,771 - CALCADA,562
12,773 - PERNAMBUES,535
13,773 - PERNAMBUES,568
14,774 - VALERIA,593
15,774 - VALERIA,591
16,776 - AMARALINA,603
17,778 - MADRE DE DEUS,539
18,781 - FEIRA SANTANA - CENTRO,524
19,781 - FEIRA SANTANA - CENTRO,569
20,1147 - CAMPO GRANDE - CENTRO,950
21,1147 - CAMPO GRANDE - CENTRO,373
22,1147 - CAMPO GRANDE - CENTRO,386
23,1147 - CAMPO GRANDE - CENTRO,478
24,1147 - CAMPO GRANDE - CENTRO,672
25,1148 - C.GRANDE-V.ANT.VENDAS,345
26,1151 - RIO BRILHANTE,426
27,1154 - COXIM,670
28,1156 - TRES LAGOAS,511
29,1157 - FATIMA DO SUL,393
30,1157 - FATIMA DO SUL,313
31,1157 - FATIMA DO SUL,212
32,1158 - DOURADOS,951
33,1158 - DOURADOS,973
34,1159 - PONTA PORA,406
35,1159 - PONTA PORA,640
36,1160 - CURITIBA - CENTRO,796
37,1160 - CURITIBA - CENTRO,934
38,1160 - CURITIBA - CENTRO,943
39,1161 - P.PUBLICO,794
40,1161 - P.PUBLICO,819
41,1161 - P.PUBLICO,863
42,1161 - P.PUBLICO,871
43,1161 - P.PUBLICO,941
44,1162 - ALTO GLORIA,917
45,1163 - ALTO RUA XV,385
46,1166 - AGUA VERDE,579
47,1166 - AGUA VERDE,492
48,1169 - S.FRANCISCO,753
49,1170 - BATEL,927
50,1170 - BATEL,956
51,1170 - BATEL,465
52,1174 - CENTRO CIVICO,931
53,1175 - PORTAO,831
54,1175 - PORTAO,409
55,1176 - BIGORILHO,479
56,1176 - BIGORILHO,599
57,1178 - NOVO MUNDO,816
58,1178 - NOVO MUNDO,818
59,1178 - NOVO MUNDO,945
60,1178 - NOVO MUNDO,963
61,1178 - NOVO MUNDO,957
62,1178 - NOVO MUNDO,380
63,1178 - NOVO MUNDO,501
64,1178 - NOVO MUNDO,518
65,1178 - NOVO MUNDO,631
66,1178 - NOVO MUNDO,682
67,1179 - HAUER,840
68,1179 - HAUER,864
69,1179 - HAUER,923
70,1179 - HAUER,456
71,1179 - HAUER,471
72,1179 - HAUER,555
73,1179 - HAUER,666
74,1181 - ABRANCHES,835
75,1181 - ABRANCHES,862
76,1182 - BOTIATUVINHA,888
77,1182 - BOTIATUVINHA,643
78,1183 - BACACHERI,382
79,1183 - BACACHERI,458
80,1183 - BACACHERI,653
81,1184 - S.JOSE DOS PINHAIS,792
82,1184 - S.JOSE DOS PINHAIS,918
83,1184 - S.JOSE DOS PINHAIS,398
84,1184 - S.JOSE DOS PINHAIS,431
85,1184 - S.JOSE DOS PINHAIS,450
86,1185 - PARANAGUA,810
87,1185 - PARANAGUA,911
88,1185 - PARANAGUA,381
89,1185 - PARANAGUA,560
90,1185 - PARANAGUA,565
91,1185 - PARANAGUA,602
92,1186 - GUARATUBA,930
93,1186 - GUARATUBA,404
94,1186 - GUARATUBA,580
95,1186 - GUARATUBA,638
96,1186 - GUARATUBA,684
97,1188 - COLOMBO,830
98,1188 - COLOMBO,438
99,1188 - COLOMBO,608
100,1188 - COLOMBO,334
101,1189 - CAMPO LARGO,899
102,1189 - CAMPO LARGO,570
103,1190 - ARAUCARIA,412
104,1191 - LAPA,805
105,1191 - LAPA,464
106,1191 - LAPA,552
107,1191 - LAPA,337
108,1192 - PONTA GROSSA,829
109,1192 - PONTA GROSSA,869
110,1193 - P.GROSSA/PALMEIRA,416
